system:index,landcover,19-1_swir2,19-2_swir2,20-1_swir2,20-2_swir2,21-1_swir2,21-2_swir2,22-1_swir2,22-2_swir2,23-1_swir2,23-2_swir2
000000000000000001fb_0,0,0.01735,0.00735,0.0034,0.0118,0.0056,0.0056,0.012,0.012,0.0189,0.0052
0000000000000000024b_0,0,0.0393,0.0376,0.0091,0.03235,0.0425,0.04305,0.0653,0.04035,0.0389,0.039
000000000000000004b3_0,0,0.0495,0.0396,0.0403,0.03375,0.03705,0.042,0.0808,0.0454,0.04685,0.03395
000000000000000001ff_0,0,0.0144,0.0131,0.0112,0.0104,0.0085,0.0095,0.0061,0.02785,0.0106,0.0229
00000000000000000129_0,0,0.1895,0.0995,0.1079,0.1311,0.11915,0.1159999999999999,0.1543,0.13125,0.1944,0.172
0000000000000000056f_0,0,0.1414,0.17035,0.158,0.1256,0.151,0.146,0.1292,0.1366,0.1352,0.1456
00000000000000000883_0,0,0.04665,0.0128,0.06615,0.0124,0.0171,0.0147,0.0187,0.0125,0.0086,0.0115
00000000000000000245_0,0,0.1304,0.09425,0.2047,0.111,0.1548,0.09115,0.0814,0.1577,0.157,0.1156
00000000000000000863_0,0,0.185,0.158,0.1734,0.1397,0.1912,0.15765,0.16225,0.2112,0.1711,0.15885
00000000000000000162_0,0,0.1389,0.10665,0.1861,0.1292,0.21745,0.10525,0.16265,0.1125,0.17405,0.10815
0000000000000000004b_0,0,0.0689,0.0585,0.0702,0.0663,0.0694,0.0619,0.0965,0.0518,0.07245,0.0681
000000000000000005c0_0,0,0.1582,0.11215,0.1133,0.1155,0.2423,0.1091,0.1136,0.1263,0.1505,0.1666
00000000000000000683_0,0,0.0046,0.0092,0.0057,0.00935,0.0052,0.0154,0.01155,0.0292,0.0177,0.0067
00000000000000000932_0,0,0.03385,0.0184,0.0065,0.0231,0.0239,0.00855,0.0329,0.0322,0.0093,0.0078
00000000000000000557_0,0,0.01585,0.0062,0.0083,0.0094,0.0133,0.0057,0.0254,0.0137,0.01495,0.00605
0000000000000000060e_0,0,0.1074,0.11335,0.0899,0.1766,0.13355,0.1253,0.088,0.104,0.09385,0.0865
00000000000000000a39_0,0,0.1315,0.13565,0.1298,0.1356,0.1385,0.1494,0.1783,0.1517,0.1491,0.1287
00000000000000000155_0,0,0.01585,0.0063,0.0095,0.0071,0.0049,0.0074,0.0113,0.01345,0.0093,0.00545
00000000000000000548_0,0,0.1242,0.0965,0.1386,0.11525,0.11905,0.1132,0.1061,0.1063,0.1258,0.0886
000000000000000000bb_0,0,0.1338,0.0953,0.09985,0.08195,0.0836,0.107,0.1278,0.1081,0.1101,0.1251
00000000000000000133_0,0,0.1199,0.1262,0.1933,0.1088,0.1268,0.0978,0.1288,0.11275,0.143,0.1206
0000000000000000052f_0,0,0.1398,0.1584,0.1909,0.1502,0.15305,0.165,0.1682,0.15355,0.2384,0.1424
00000000000000000860_0,0,0.0775,0.0234,0.0069,0.0181,0.0192,0.0058,0.0517,0.0152,0.0052,0.0048
0000000000000000016b_0,0,0.1886,0.17035,0.183,0.1775,0.1592,0.1441,0.175,0.1722,0.2099,0.1669
000000000000000001ee_0,0,0.1264,0.13875,0.15925,0.2006,0.13215,0.14945,0.35255,0.1549,0.1784,0.1397
0000000000000000065b_0,0,0.04435,0.0076,0.0061,0.0203,0.006,0.0071,0.0122,0.0153,0.0199,0.0048
0000000000000000052a_0,0,0.02065,0.0125,0.01495,0.0219,0.0314,0.0426,0.0283,0.0242,0.0303,0.0101
000000000000000008a4_0,0,0.13135,0.10915,0.1553,0.1188,0.15065,0.0877,0.1092,0.0706,0.1336,0.0678
000000000000000001a9_0,0,0.1634499999999999,0.1434,0.1784,0.15005,0.1823,0.1277,0.1628,0.1234,0.1729,0.1679
00000000000000000280_0,0,0.2516,0.209,0.2293,0.23135,0.182,0.2195,0.1777,0.3257,0.3332,0.2782
00000000000000000288_0,0,0.0422499999999999,0.0198,0.008,0.0524,0.0093,0.03005,0.01145,0.0249,0.023,0.0088
00000000000000000544_0,0,0.01915,0.0151,0.0266,0.0223,0.0185,0.0182,0.0161,0.0225,0.0177,0.02
00000000000000000847_0,0,0.2243,0.10965,0.17805,0.1127,0.20635,0.083,0.101,0.0973,0.124,0.1941
000000000000000004f9_0,0,0.1438,0.1099,0.1609499999999999,0.1108,0.1467,0.14305,0.1784,0.12445,0.1429,0.09525
0000000000000000055e_0,0,0.04765,0.035,0.0436,0.0361,0.0423,0.035,0.0315,0.0511,0.0415,0.04305
00000000000000000605_0,0,0.1756,0.1294,0.1859,0.17725,0.2059,0.1729,0.15815,0.1233,0.1744,0.1288
000000000000000001b4_0,0,0.1455,0.14045,0.15225,0.14275,0.148,0.1326,0.13615,0.10195,0.14615,0.12735
00000000000000000545_0,0,0.1649,0.1194,0.1663,0.1085,0.1621,0.09975,0.1489,0.1107,0.1579,0.08645
00000000000000000248_0,0,0.0089,0.00635,0.0063,0.0075,0.005,0.0053,0.0164,0.0133,0.0089,0.0054
00000000000000000845_0,0,0.1596,0.144,0.2055999999999999,0.12055,0.2175,0.15915,0.15605,0.13705,0.1537,0.2044
00000000000000000059_0,0,0.1256,0.0896,0.12075,0.0792,0.1064,0.0803,0.1076,0.086,0.11675,0.113
00000000000000000a1e_0,0,0.00455,0.0056,0.0086,0.007,0.00485,0.0068,0.01385,0.0077,0.006,0.0064
00000000000000000563_0,0,0.1225,0.1348,0.1292,0.1376,0.1559,0.1312,0.15845,0.1424,0.1312,0.1278
000000000000000000ca_0,0,0.1314,0.1134,0.1608,0.1098,0.1321,0.1228,0.14535,0.1058,0.1505,0.10785
00000000000000000537_0,0,0.09435,0.0888,0.1052,0.0963,0.09055,0.07845,0.0868,0.0982,0.1093,0.1138
00000000000000000571_0,0,0.1351,0.1579,0.15535,0.138,0.17095,0.12975,0.1422,0.1085,0.1756,0.1025
00000000000000000668_0,0,0.0043,0.00785,0.0038,0.0311,0.0065,0.0062,0.0138,0.0165,0.0171,0.0051
00000000000000000976_0,0,0.00655,0.0085,0.0069,0.007,0.006,0.0073,0.0074,0.0089,0.0099,0.008
00000000000000000a1a_0,0,0.0037,0.0119,0.0096,0.0119,0.0073,0.01225,0.0204,0.009,0.0078,0.0075
00000000000000000a44_0,0,0.0731,0.07175,0.10105,0.08485,0.0821,0.0946,0.1226,0.0987,0.0991,0.08025
00000000000000000a2e_0,0,0.06925,0.0646,0.0695,0.0589,0.06715,0.08535,0.0969,0.068,0.093,0.0658
0000000000000000025f_0,0,0.1634,0.16185,0.143,0.1539,0.2055999999999999,0.191,0.2131,0.1778,0.1876,0.2145
0000000000000000053e_0,0,0.05605,0.0484,0.0605,0.0439,0.05405,0.04065,0.0399,0.0409,0.0628,0.0446
000000000000000005ac_0,0,0.13755,0.17235,0.2536,0.1987,0.2944,0.15605,0.3404,0.1427,0.3301,0.1984
