system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1,blue_S2_2,green_S2_2,landcover_S2_2,nir_S2_2,red_S2_2,swir1_S2_2,swir2_S2_2
00000000000000000009_0,0.0571,0.087,0,0.2176,0.1024,0.1584,0.1212,0.0434,0.0664,0,0.3049,0.0713,0.1719,0.1065
00000000000000000112_0,0.07385,0.0931,0,0.22895,0.0944,0.2232,0.1692,0.0646,0.0883,0,0.2899,0.1039,0.239,0.1823
0000000000000000003c_0,0.0424,0.0629,0,0.2239,0.0613,0.1686,0.1106,0.0753,0.0912,0,0.2626,0.0773,0.1978,0.1262
0000000000000000013c_0,0.0265,0.05235,0,0.22255,0.0275,0.1442,0.0755,0.0301,0.0474,0,0.2391,0.0278,0.1341,0.0659
00000000000000000053_0,0.0532,0.082,0,0.2043,0.0875,0.203,0.1275,0.141,0.1837,0,0.2822,0.2327,0.327,0.2524
00000000000000000208_0,0.0649,0.0851,1,0.2027,0.0731,0.0899,0.0571,0.0621,0.0868,1,0.2103,0.0722,0.0898,0.056
000000000000000000d3_0,0.1656,0.1928,0,0.2459,0.2117,0.2688,0.2608,0.2166,0.25505,0,0.3093,0.2705,0.31935,0.3012
00000000000000000029_0,0.1208,0.1497,0,0.22145,0.15675,0.2237,0.1669,0.1224,0.1547,0,0.2278,0.1664,0.2202,0.1798
000000000000000001be_0,0.0624,0.0923,0,0.2256,0.0852,0.1708,0.10105,0.06115,0.1122,0,0.1583,0.10635,0.13585,0.08485
000000000000000001d1_0,0.0564,0.0789,1,0.2223,0.0579,0.1139,0.0654,0.0334,0.05035,1,0.26835,0.03075,0.0813,0.0382
0000000000000000003f_0,0.095,0.1317,0,0.2371,0.1256,0.2247,0.1486,0.0622,0.08815,0,0.2088,0.0735,0.14955,0.09545
000000000000000000a2_0,0.1003,0.1394,0,0.2188,0.1549,0.2126,0.1755,0.073,0.1063,0,0.2298,0.1044,0.1363,0.115
00000000000000000070_0,0.14,0.1573,0,0.2593,0.1627,0.27175,0.2112,0.0936,0.1226,0,0.2094,0.1235,0.2123,0.1739
000000000000000001b9_0,0.0901,0.1201,0,0.25875,0.14315,0.31285,0.26125,0.0937,0.1263,0,0.2843,0.139,0.3134,0.2445
00000000000000000059_0,0.0802,0.1092,0,0.2605,0.1151,0.2469,0.1892,0.074,0.1022,0,0.2532,0.1018,0.2642,0.1806
00000000000000000097_0,0.0729,0.0734,0,0.245,0.0529,0.1184,0.0588,0.02595,0.0419,0,0.264,0.0289,0.1203,0.0502
000000000000000001ac_0,0.186,0.206,0,0.2486,0.2196,0.286,0.2486,0.1726,0.2111,0,0.29815,0.24195,0.31105,0.2624
0000000000000000019c_0,0.09345,0.1261,0,0.2622,0.15575,0.33975,0.29055,0.1189,0.15,0,0.2747,0.15605,0.3263,0.2819
00000000000000000032_0,0.0571,0.0925,0,0.262,0.0869,0.1766,0.0898,0.05505,0.0724,0,0.24145,0.07695,0.1692,0.09455
00000000000000000066_0,0.07615,0.1002,0,0.26895,0.08865,0.22885,0.1455,0.045,0.0703,0,0.2864,0.0714,0.2223,0.134
00000000000000000192_0,0.0478,0.0662,0,0.2642,0.0615,0.1959,0.125,0.0301,0.0527,0,0.3384,0.0334,0.1808,0.0966
000000000000000000b1_0,0.0991,0.12085,0,0.2847,0.11605,0.25435,0.18695,0.0948,0.1147,0,0.2543,0.108,0.2218,0.1579
000000000000000001fd_0,0.0645,0.0829,1,0.2809,0.0616,0.1655,0.0934,0.0258,0.0449,1,0.2503,0.0298,0.1092,0.0548
00000000000000000021_0,0.07855,0.10995,0,0.2861,0.1466,0.3734,0.25245,0.0603,0.0899,0,0.3595,0.0879,0.1955,0.1039
00000000000000000124_0,0.03865,0.0638,0,0.28025,0.0564,0.202,0.10945,0.0402,0.0777,0,0.373,0.0504,0.2163,0.1041
00000000000000000147_0,0.0464,0.0683,0,0.3334,0.04365,0.19045,0.08895,0.0453,0.0878,0,0.4249,0.0436,0.2277,0.0991
000000000000000001e6_0,0.03215,0.0511,1,0.314,0.032,0.09585,0.04,0.0347,0.0606,1,0.3308,0.03425,0.11285,0.04675
00000000000000000071_0,0.1581,0.1781,0,0.3531,0.1696,0.3125,0.229,0.0396,0.0671,0,0.3836,0.0577,0.2078,0.1017
000000000000000000fd_0,0.0358,0.0632,0,0.3117,0.042,0.1787,0.092,0.0451,0.0713,0,0.3351,0.0505,0.1625,0.0912
00000000000000000102_0,0.0548,0.07845,0,0.3791,0.05905,0.21095,0.11115,0.0262,0.0538,0,0.3594,0.0358,0.2039,0.0899
00000000000000000168_0,0.107,0.13935,0,0.36255,0.13015,0.2575,0.16095,0.0407,0.0692,0,0.3329,0.0586,0.2253,0.1243
