system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
00000000000000000179_0,0.0661200000000001,0.12024,0,0.0355200000000001,0.0951600000000001,0.01612,0.0112,0.0542,0.0741,0,0.01985,0.0383,0.0042,0.0047
0000000000000000017b_0,0.0726000000000001,0.10316,0,0.32744,0.11468,0.32452,0.21696,0.0489,0.0786,0,0.2958,0.0854,0.2658,0.1597
0000000000000000017c_0,0.12628,0.16552,0,0.38748,0.21188,0.54448,0.38288,0.09105,0.12115,0,0.32335,0.1328,0.41065,0.3191
0000000000000000017d_0,0.0766000000000001,0.11828,0,0.03068,0.07592,0.01208,0.0076,0.1106,0.1325,0,0.0762,0.118,0.0169,0.0096
00000000000000000180_0,0.1092,0.15708,0,0.0657200000000001,0.14552,0.0396400000000001,0.02944,0.0615,0.0805,0,0.0124,0.0373,0.0052,0.0065
00000000000000000182_0,0.10328,0.13904,0,0.44672,0.11836,0.32024,0.1704,0.0422,0.0793,0,0.3099,0.06525,0.2515,0.13545
00000000000000000184_0,0.04528,0.0926000000000001,0,0.24188,0.09256,0.17856,0.10768,0.0429,0.0669,0,0.1698,0.0605,0.1146,0.0654
00000000000000000185_0,0.07224,0.10148,0,0.32244,0.11124,0.27324,0.17588,0.049,0.0775,0,0.2158,0.094,0.188,0.127
00000000000000000188_0,0.0428000000000001,0.10952,0,0.0,0.0557200000000001,0.00796,0.01024,0.111,0.12905,0,0.04795,0.088,0.0296,0.0204
00000000000000000189_0,0.0761000000000001,0.0991600000000001,0,0.39846,0.0901200000000001,0.19274,0.10954,0.0417,0.0601,0,0.307,0.0541,0.1662,0.1018
0000000000000000018a_0,0.10808,0.1414,0,0.0649600000000001,0.11564,0.01908,0.00972,0.0817,0.10455,0,0.0338,0.0862,0.01525,0.0113
0000000000000000018b_0,0.18696,0.27284,0,0.404,0.30896,0.51732,0.5246,0.2243,0.2977,0,0.3642,0.3388,0.4425,0.431
0000000000000000018c_0,0.14376,0.16828,0,0.31212,0.17816,0.32072,0.26272,0.1044,0.1217,0,0.23535,0.14475,0.29915,0.26965
0000000000000000018d_0,0.0404600000000001,0.10542,0,0.0037,0.04444,0.0136,0.01298,0.1193,0.1373,0,0.0404,0.1008,0.0171,0.0125
00000000000000000190_0,0.0416400000000001,0.07536,0,0.0348000000000001,0.0386,0.0367600000000001,0.0342000000000001,0.07745,0.098,0,0.0224,0.0662,0.01765,0.016
