system:index,blue_L8_1,green_L8_1,landcover_L8_1,nir_L8_1,red_L8_1,swir1_L8_1,swir2_L8_1,blue_L8_2,green_L8_2,landcover_L8_2,nir_L8_2,red_L8_2,swir1_L8_2,swir2_L8_2
000000000000000000d3_0,0.21364,0.27284,0,0.41784,0.31156,0.39864,0.35464,0.2198,0.30032,0,0.4312,0.32452,0.37784,0.31356
00000000000000000029_0,0.14532,0.17596,0,0.28712,0.18824,0.28312,0.1994,0.18132,0.22648,0,0.34648,0.25094,0.33046,0.25594
000000000000000001d1_0,0.0611600000000001,0.10144,1,0.3229,0.0792400000000001,0.13758,0.0629400000000001,0.0432000000000001,0.0873200000000001,1,0.4074,0.0532400000000001,0.1202,0.04548
0000000000000000003f_0,0.0979,0.1374,0,0.29618,0.13468,0.27204,0.17172,0.1126,0.14696,0,0.38964,0.12676,0.23612,0.12444
00000000000000000070_0,0.17736,0.20564,0,0.3486,0.24856,0.36464,0.27848,0.20152,0.23436,0,0.38444,0.24184,0.3704,0.26872
000000000000000001b9_0,0.13958,0.20278,0,0.37924,0.25454,0.49674,0.43142,0.1268,0.1914,0,0.39732,0.23104,0.51564,0.42672
00000000000000000059_0,0.11472,0.14156,0,0.30928,0.13844,0.30104,0.20532,0.10302,0.12928,0,0.36696,0.13418,0.33838,0.19996
00000000000000000097_0,0.0332400000000001,0.0702,0,0.43028,0.0465200000000001,0.18836,0.0734000000000001,0.03972,0.0861600000000001,0,0.45096,0.0524000000000001,0.18816,0.0668800000000001
0000000000000000019c_0,0.14124,0.17608,0,0.3712,0.2,0.4806,0.39694,0.129,0.1568,0,0.40152,0.16428,0.41588,0.29704
00000000000000000032_0,0.05766,0.10398,0,0.319,0.11194,0.22554,0.12368,0.0402400000000001,0.101,0,0.26436,0.0854,0.11612,0.0673200000000001
00000000000000000066_0,0.06552,0.09756,0,0.44404,0.0711600000000001,0.23668,0.11056,0.0886400000000001,0.11484,0,0.42228,0.0864,0.24724,0.1078
00000000000000000192_0,0.0724000000000001,0.10308,0,0.39268,0.0966400000000001,0.25016,0.13592,0.0552000000000001,0.0834200000000001,0,0.4737,0.071,0.21872,0.1046
000000000000000000b1_0,0.0869400000000001,0.12586,0,0.36888,0.11248,0.27382,0.17388,0.09168,0.12716,0,0.41892,0.11604,0.243,0.13948
00000000000000000021_0,0.0840400000000001,0.1504,0,0.22292,0.16852,0.0694000000000001,0.0416800000000001,0.05388,0.0898000000000001,0,0.59604,0.0554000000000001,0.26292,0.11804
00000000000000000124_0,0.05176,0.1036,0,0.37644,0.0823200000000001,0.23796,0.13072,0.03334,0.0627200000000001,0,0.35148,0.04968,0.19234,0.08818
00000000000000000147_0,0.04988,0.10356,0,0.3666,0.0727600000000001,0.21528,0.11708,0.0142400000000001,0.0397400000000001,0,0.20452,0.0229,0.0960000000000001,0.0416800000000001
000000000000000001e6_0,0.04028,0.07436,1,0.36772,0.05348,0.1414,0.0582400000000001,0.03916,0.07636,1,0.43328,0.0489200000000001,0.13716,0.0512400000000001
000000000000000000fd_0,0.05366,0.1007,0,0.4317,0.0669800000000001,0.24004,0.12162,0.0552800000000001,0.0970800000000001,0,0.49524,0.06792,0.24856,0.1194
00000000000000000102_0,0.05968,0.10742,0,0.57388,0.0842600000000001,0.30684,0.14466,0.06248,0.10812,0,0.5762,0.09512,0.3388,0.16432
00000000000000000168_0,0.07546,0.11424,0,0.43838,0.10072,0.36474,0.20686,0.052,0.10108,0,0.50896,0.07152,0.27228,0.11944
