system:index,landcover,19-1_nir,19-2_nir,20-1_nir,20-2_nir,21-1_nir,21-2_nir,22-1_nir,22-2_nir,23-1_nir,23-2_nir
00000000000000000057_0,0,0.34385,0.39545,0.3002,0.4584,0.3127,0.4496,0.2095,0.5056,0.52925,0.4234
000000000000000001f7_0,0,0.31065,0.3826,0.2691,0.3429,0.356,0.3801,0.3339,0.3405,0.38435,0.3233
0000000000000000087b_0,0,0.01935,0.0423,0.0085,0.0221,0.0178,0.0133,0.015,0.0133,0.0589,0.014
000000000000000000be_0,0,0.0717,0.0165,0.0127,0.0509,0.0136,0.0147,0.0158,0.0134,0.0307,0.0085
00000000000000000558_0,0,0.1673,0.194,0.1482,0.2463,0.1219,0.1464,0.1991,0.2282,0.2317,0.0787
00000000000000000014_0,0,0.3318,0.35035,0.3547,0.3425,0.3371,0.3863,0.3444,0.3844,0.3634,0.3606
00000000000000000466_0,0,0.1166,0.1483,0.12495,0.1408,0.1361,0.1224,0.0943,0.0885,0.096,0.1278
0000000000000000021a_0,0,0.3162,0.34095,0.2939,0.3663,0.2799,0.34065,0.3264,0.38275,0.2779,0.3049
000000000000000005a0_0,0,0.0717,0.02455,0.012,0.0213,0.0118,0.0093,0.0091,0.0079,0.0464,0.004
00000000000000000948_0,0,0.18505,0.1791,0.1623,0.1403,0.1373,0.1263,0.1897,0.1234,0.1079,0.2156
00000000000000000960_0,0,0.02165,0.0426,0.0135,0.0287,0.0161,0.0142,0.017,0.0114,0.0441,0.0181
00000000000000000961_0,0,0.3698,0.3486999999999999,0.3387,0.2885,0.2508,0.3175,0.3205,0.3579,0.3264,0.2502
0000000000000000009f_0,0,0.37285,0.4136,0.3432,0.4202,0.377,0.4587,0.3205,0.38425,0.3799,0.4272
00000000000000000017_0,0,0.22615,0.2801,0.21975,0.3339,0.2433,0.2936,0.3161,0.4026,0.2877,0.36905
000000000000000004bd_0,0,0.2276,0.3394,0.2404,0.3004,0.2481,0.2842,0.1924,0.34815,0.1886,0.2852
00000000000000000497_0,0,0.3486999999999999,0.4035,0.37645,0.5041,0.46795,0.2705,0.357,0.429,0.3975,0.42935
