system:index,landcover,19-1_blue,19-2_blue,20-1_blue,20-2_blue,21-1_blue,21-2_blue,22-1_blue,22-2_blue,23-1_blue,23-2_blue
00000000000000000035_0,0,0.0361,0.0407,0.03035,0.0395,0.0349,0.0411,0.0472,0.0986,0.11375,0.0367
000000000000000004d1_0,0,0.0671,0.0306,0.0304,0.0553,0.0468,0.02375,0.03715,0.04575,0.0558,0.0349
0000000000000000009d_0,0,0.089,0.0432,0.0305,0.0405,0.0645,0.033,0.0645,0.0957,0.0657,0.0253
0000000000000000003b_0,0,0.06105,0.0353,0.0309,0.0515,0.0357,0.0266,0.044,0.03665,0.0942,0.0211
0000000000000000082b_0,0,0.0397,0.0385,0.031,0.0378,0.0393,0.03735,0.0402,0.04465,0.0516,0.0365
000000000000000000ed_0,0,0.0421,0.0462,0.0313,0.0527,0.0402,0.03305,0.04965,0.0385,0.0484,0.0334
00000000000000000958_0,0,0.0404,0.0363,0.0314,0.039,0.03715,0.035,0.0491,0.0331,0.0435,0.0344
00000000000000000492_0,0,0.0466,0.0422,0.0318,0.0417,0.0451,0.0424,0.0597,0.10405,0.0923,0.0494
000000000000000004d4_0,0,0.0443,0.0451,0.0318,0.0456,0.0461,0.03725,0.056,0.0439,0.0452,0.0359
0000000000000000047c_0,0,0.04205,0.0363,0.0319,0.0387,0.0408,0.0295,0.0461,0.0366,0.0613,0.0267
0000000000000000004c_0,0,0.0298,0.03205,0.032,0.0279,0.0598,0.03325,0.0607,0.0281,0.05185,0.0394
00000000000000000075_0,0,0.031,0.0443,0.0321,0.0384,0.0339,0.032,0.0369,0.02355,0.0427,0.0304
00000000000000000046_0,0,0.04145,0.0422,0.0322,0.0501,0.05535,0.03815,0.0536,0.04455,0.0511,0.0325
00000000000000000019_0,0,0.03615,0.03375,0.0323,0.0313,0.0328,0.027,0.0374,0.026,0.0833,0.0326
00000000000000000071_0,0,0.0493,0.05415,0.0323,0.0462,0.0426,0.05875,0.0609,0.0457,0.0412,0.0444
000000000000000000b7_0,0,0.0275,0.0457,0.0323,0.0547,0.0519,0.0544,0.0556,0.0488,0.0845,0.0495
0000000000000000043d_0,0,0.0402,0.0307,0.0323,0.03025,0.0266,0.029,0.02525,0.034,0.04625,0.0247
