system:index,landcover,19-1_red,19-2_red,20-1_red,20-2_red,21-1_red,21-2_red,22-1_red,22-2_red,23-1_red,23-2_red
0000000000000000043b_0,0,0.04445,0.0456,0.0527,0.0452,0.0581,0.0385,0.057,0.0345,0.0583,0.0422
000000000000000004b6_0,0,0.0572,0.0309,0.0296,0.0434,0.0519,0.02655,0.0316,0.0313,0.0516,0.0246
00000000000000000434_0,0,0.0285,0.0448,0.03245,0.0263,0.0273,0.0208,0.0211,0.0336,0.0434,0.027
0000000000000000084f_0,0,0.0437,0.0437,0.0387,0.0408,0.0417,0.0279,0.0349,0.04595,0.0569,0.0347
00000000000000000148_0,0,0.0336,0.0362,0.0319,0.048,0.0458,0.0438,0.0357,0.04345,0.0665,0.0468
00000000000000000455_0,0,0.0428,0.04435,0.0371,0.0404,0.04855,0.0325,0.0429,0.0233,0.0414,0.0294
000000000000000004a7_0,0,0.04705,0.0374,0.0287,0.0528,0.0807,0.0206,0.0264,0.03325,0.0433,0.0174
000000000000000008aa_0,0,0.033,0.0233,0.02875,0.02325,0.0318,0.0251,0.0291,0.02485,0.0279,0.02275
00000000000000000437_0,0,0.03745,0.0455,0.0297,0.0272,0.0558,0.0218,0.03125,0.019,0.0405,0.0264
00000000000000000947_0,0,0.0323,0.03075,0.0295,0.0329,0.0325,0.029,0.0339,0.0268,0.0287,0.0246
0000000000000000046f_0,0,0.0515,0.0413,0.0332999999999999,0.0393,0.0302,0.0274,0.032,0.0238,0.0352,0.0223
000000000000000000b2_0,0,0.0791,0.0485,0.0311,0.0403,0.03395,0.0323,0.0542,0.0344,0.1274,0.1335
00000000000000000038_0,0,0.05985,0.0556,0.0463,0.053,0.049,0.04815,0.0473,0.0676,0.1279,0.0492
00000000000000000a3f_0,0,0.0529,0.0268,0.0275,0.0278,0.0303,0.02495,0.0329,0.0263,0.0267,0.0252
000000000000000004a1_0,0,0.03315,0.036,0.0264,0.0885,0.0453999999999999,0.0284,0.0312,0.06215,0.0745,0.0704
00000000000000000517_0,0,0.0408,0.0584,0.053,0.0734,0.077,0.0747,0.07015,0.0589,0.0714,0.0407
