system:index,blue_S2_1,green_S2_1,landcover_S2_1,nir_S2_1,red_S2_1,swir1_S2_1,swir2_S2_1
0000000000000000001e_0,0.07085,0.09675,0,0.011000000000000000,0.055150000000000000,0.005900000000000000,0.00605
0000000000000000001f_0,0.04265000000000000,0.0586,0,0.34015,0.03505,0.1584,0.0684
00000000000000000020_0,0.1056,0.12390000000000000,0,0.13440000000000000,0.12140000000000000,0.08360000000000000,0.055200000000000000
00000000000000000022_0,0.04725,0.06625,0,0.1102,0.052450000000000000,0.08895,0.05310000000000000
00000000000000000025_0,0.06775,0.0849,0,0.1887,0.0875,0.22835,0.16365000000000000
00000000000000000026_0,0.03785,0.06225,0,0.2907,0.04675,0.20040000000000000,0.1159
00000000000000000027_0,0.08015,0.09495,0,0.12175,0.0806,0.10855000000000000,0.0794
0000000000000000002a_0,0.050550000000000000,0.0766,0,0.3654,0.05685,0.22285000000000000,0.11595
0000000000000000002b_0,0.0685,0.10175000000000000,0,0.07355,0.1134,0.01125,0.00895
0000000000000000002c_0,0.0732,0.0926,0,0.30160000000000000,0.0838,0.1708,0.0985
0000000000000000002d_0,0.08105000000000000,0.1072,0,0.0279,0.06985,0.010500000000000000,0.007600000000000000
0000000000000000002e_0,0.10055000000000000,0.11975,0,0.20505,0.11750000000000000,0.15410000000000000,0.1044
0000000000000000002f_0,0.06175,0.07200000000000000,0,0.0225,0.03665,0.00895,0.006900000000000000
00000000000000000030_0,0.039600000000000000,0.0555,0,0.21145000000000000,0.0381,0.15915,0.098
00000000000000000033_0,0.10250000000000000,0.1095,0,0.10070000000000000,0.1071,0.09910000000000000,0.0859
00000000000000000034_0,0.0613,0.0893,0,0.2732,0.08850000000000000,0.2378,0.1734
00000000000000000035_0,0.0964,0.11030000000000000,0,0.1105,0.101,0.07830000000000000,0.048400000000000000
00000000000000000036_0,0.136,0.17200000000000000,0,0.2801,0.1844,0.2867,0.25020000000000000
00000000000000000037_0,0.132,0.17650000000000000,0,0.28115,0.20795000000000000,0.30565000000000000,0.27290000000000000
00000000000000000038_0,0.0646,0.0877,0,0.2404,0.0981,0.27125,0.18185
00000000000000000039_0,0.08635000000000000,0.10405,0,0.1839,0.09895000000000000,0.13965,0.09215000000000000
0000000000000000003a_0,0.08005000000000000,0.1077,0,0.025500000000000000,0.08360000000000000,0.01455,0.01115
0000000000000000003e_0,0.1262,0.1542,0,0.1884,0.1661,0.2237,0.20450000000000000
00000000000000000040_0,0.11745,0.12095,0,0.07905000000000000,0.0895,0.05505,0.04415
00000000000000000041_0,0.0838,0.12340000000000000,0,0.0375,0.101,0.019,0.0132
00000000000000000042_0,0.0903,0.1029,0,0.0279,0.0587,0.0142,0.0118
00000000000000000043_0,0.15650000000000000,0.14600000000000000,0,0.26665000000000000,0.13995000000000000,0.27580000000000000,0.2497
00000000000000000044_0,0.09015000000000000,0.1021,0,0.0307,0.06455,0.0115,0.007050000000000000
00000000000000000045_0,0.0704,0.101,0,0.081,0.10600000000000000,0.0763,0.0661
00000000000000000046_0,0.0629,0.0838,0,0.016,0.0381,0.0109,0.0097
00000000000000000047_0,0.05505,0.08025,0,0.020200000000000000,0.057,0.009300000000000000,0.0078
00000000000000000048_0,0.1489,0.19155,0,0.32265,0.22025,0.3921,0.32565
00000000000000000049_0,0.0687,0.10160000000000000,0,0.0601,0.0969,0.016,0.0126
0000000000000000004a_0,0.06815,0.09755,0,0.2599,0.10395000000000000,0.22125,0.1661
0000000000000000004b_0,0.0477,0.0876,0,0.2756,0.0679,0.20900000000000000,0.1145
0000000000000000004c_0,0.044500000000000000,0.0466,0,0.0551,0.0417,0.0539,0.044000000000000000
0000000000000000004d_0,0.1378,0.163,0,0.07545,0.13575,0.016,0.011450000000000000
0000000000000000004e_0,0.0976,0.12250000000000000,0,0.19,0.1032,0.1476,0.0824
00000000000000000050_0,0.07255,0.09490000000000000,0,0.15455000000000000,0.08625000000000000,0.1318,0.09670000000000000
00000000000000000052_0,0.043000000000000000,0.0753,0,0.0085,0.0517,0.008400000000000000,0.0066
00000000000000000054_0,0.1277,0.1482,0,0.2023,0.1559,0.23620000000000000,0.21380000000000000
00000000000000000056_0,0.0886,0.11510000000000000,0,0.0318,0.1022,0.009600000000000000,0.0068000000000000000
00000000000000000057_0,0.07685,0.1048,0,0.21605000000000000,0.10805000000000000,0.21125,0.17175
0000000000000000005a_0,0.11135,0.12595,0,0.13175,0.11180000000000000,0.1202,0.0945
0000000000000000005b_0,0.11380000000000000,0.12305,0,0.08745,0.10265,0.05450000000000000,0.04325
0000000000000000005c_0,0.09335,0.11115,0,0.027200000000000000,0.06825,0.0104,0.00725
0000000000000000005e_0,0.0369,0.05210000000000000,0,0.34920000000000000,0.0337,0.17565000000000000,0.07500000000000000
0000000000000000005f_0,0.061200000000000000,0.08505,0,0.08985000000000000,0.0859,0.08950000000000000,0.06615
00000000000000000060_0,0.0363,0.047400000000000000,0,0.24980000000000000,0.0333,0.113,0.0512
00000000000000000062_0,0.039650000000000000,0.058050000000000000,0,0.16685,0.0733,0.14,0.08805
00000000000000000064_0,0.06435000000000000,0.08365,0,0.041400000000000000,0.0714,0.019200000000000000,0.0211
00000000000000000067_0,0.04085,0.05075,0,0.058550000000000000,0.03995,0.0584,0.04125
0000000000000000006a_0,0.059300000000000000,0.08170000000000000,0,0.0095,0.0396,0.004,0.0046
0000000000000000006b_0,0.05915,0.0878,0,0.19135000000000000,0.12095,0.2063,0.16315000000000000
0000000000000000006e_0,0.0541,0.0743,0,0.2139,0.0658,0.1512,0.1136
00000000000000000072_0,0.1368,0.1947,0,0.2696,0.2346,0.3163,0.27190000000000000
00000000000000000073_0,0.046700000000000000,0.0631,0,0.0969,0.056400000000000000,0.0847,0.053200000000000000
00000000000000000074_0,0.0937,0.10815000000000000,0,0.0335,0.0786,0.0142,0.01
00000000000000000075_0,0.1622,0.17845,0,0.18775000000000000,0.19545,0.20555,0.20290000000000000
00000000000000000078_0,0.11705000000000000,0.1453,0,0.1913,0.15435000000000000,0.24375000000000000,0.25065000000000000
0000000000000000007a_0,0.07445,0.08535000000000000,0,0.03225,0.041550000000000000,0.0208,0.016150000000000000
0000000000000000007e_0,0.0731,0.09805,0,0.20435,0.09160000000000000,0.1578,0.09855
00000000000000000080_0,0.09090000000000000,0.1222,0,0.2388,0.1458,0.2816,0.20470000000000000
00000000000000000081_0,0.069,0.0883,0,0.08410000000000000,0.07065,0.0567,0.04415
00000000000000000082_0,0.07995000000000000,0.12225000000000000,0,0.2604,0.12745,0.20125,0.11230000000000000
00000000000000000083_0,0.08710000000000000,0.11270000000000000,0,0.0424,0.11040000000000000,0.0135,0.009600000000000000
00000000000000000084_0,0.05895,0.0703,0,0.24820000000000000,0.05835,0.14085,0.07700000000000000
00000000000000000086_0,0.17705000000000000,0.20890000000000000,0,0.3628,0.2189,0.3269,0.26225
00000000000000000087_0,0.0609,0.09190000000000000,0,0.19360000000000000,0.1039,0.22390000000000000,0.1615
00000000000000000088_0,0.08560000000000000,0.1178,0,0.026600000000000000,0.09340000000000000,0.0142,0.0108
00000000000000000089_0,0.022500000000000000,0.0543,0,0.373,0.0345,0.1728,0.08940000000000000
0000000000000000008a_0,0.0869,0.12430000000000000,0,0.033600000000000000,0.0936,0.0332,0.027700000000000000
0000000000000000008b_0,0.06520000000000000,0.08480000000000000,0,0.043300000000000000,0.06645000000000000,0.030200000000000000,0.0232
