,Sentinel-2,,,Landsat-8,,,,,,,
427,0.43,,,,,,,,,,
428,0.432,,,,,,,,,,
429,0.492,,,,,,,,,,
430,0.437,,,,,,,,,,
431,0.413,,,,,,,,,,
432,0.362,,,,,,,,,,
433,0.54,,,,,,,,,,
434,0.593,,,,,,,,,,
435,0.55,,,,,,,,,,
436,0.639,,,,,,,,,,
437,0.893,,,,,,,,,,
438,0.641,,,,,,,,,,
439,0.643,,,,,,,,,,
440,0.331,,,,,,,,,,
441,0.487,,,,,,,,,,
442,0.685,,,,,,,,,,
443,0.581,,,,,,,,,,
444,0.695,,,,,,,,,,
445,0.673,,,,,,,,,,
446,0.633,,,,,,,,,,
447,0.566,,,,,,,,,,
448,0.626,,,,,,,,,,
449,0.568,,,,,,,,,,
450,0.628,,,,,,,,,,
451,0.702,,,,,,,,,,
452,0.746,,,,,,,,,,
453,0.656,,,,,,,,,,
454,0.675,,,,,,,,,,
455,0.261,,,,,,,,,,
456,0.409,,,,,,,,,,
457,0.65,,,,,,,,,,
458,0.42,,,,,,,,,,
459,0.492,,,,,,,,,,
460,0.705,,,,,,,,,,
461,0.695,,,,,,,,,,
462,0.638,,,,,,,,,,
463,0.616,,,,,,,,,,
464,0.191,,,,,,,,,,
465,0.178,,,,,,,,,,
466,0.576,,,,,,,,,,
467,0.353,,,,,,,,,,
468,0.773,,,,,,,,,,
469,0.223,,,,,,,,,,
470,0.253,,,,,,,,,,
471,0.977,,,,,,,,,,
472,0.534,,,,,,,,,,
473,0.331,,,,,,,,,,
474,0.551,,,,,,,,,,
475,0.586,,,,,,,,,,
476,0.557,,,,,,,,,,
477,0.459,,,,,,,,,,
478,0.622,,,,,,,,,,
479,0.639,,,,,,,,,,
480,0.594,,,,,,,,,,
481,0.608,,,,,,,,,,
482,0.624,,,,,,,,,,
483,0.168,,,,,,,,,,
484,0.153,,,,,,,,,,
485,0.566,,,,,,,,,,
486,0.337,,,,,,,,,,
487,0.595,,,,,,,,,,
488,0.605,,,,,,,,,,
489,0.624,,,,,,,,,,
490,0.537,,,,,,,,,,
491,0.6,,,,,,,,,,
492,0.176,,,,,,,,,,
493,0.546,,,,,,,,,,
494,0.368,,,,,,,,,,
495,0.631,,,,,,,,,,
496,0.636,,,,,,,,,,
497,0.484,,,,,,,,,,
498,0.178,,,,,,,,,,
499,0.132,,,,,,,,,,
500,0.218,,,,,,,,,,
501,0.572,,,,,,,,,,
502,0.297,,,,,,,,,,
503,0.47,,,,,,,,,,
504,0.623,,,,,,,,,,
505,0.579,,,,,,,,,,
506,0.611,,,,,,,,,,
507,0.568,,,,,,,,,,
508,0.209,,,,,,,,,,
509,0.175,,,,,,,,,,
510,0.562,,,,,,,,,,
511,0.384,,,,,,,,,,
512,0.504,,,,,,,,,,
513,0.662,,,,,,,,,,
514,0.187,,,,,,,,,,
515,0.137,,,,,,,,,,
516,0.19,,,,,,,,,,
517,0.59,,,,,,,,,,
518,0.3,,,,,,,,,,
519,0.592,,,,,,,,,,
520,0.629,,,,,,,,,,
521,0.16,,,,,,,,,,
522,0.513,,,,,,,,,,
523,0.312,,,,,,,,,,
524,0.149,,,,,,,,,,
525,0.338,,,,,,,,,,
526,0.491,,,,,,,,,,
527,0.578,,,,,,,,,,
528,0.611,,,,,,,,,,
529,0.6,,,,,,,,,,
530,0.592,,,,,,,,,,
531,0.692,,,,,,,,,,
532,0.703,,,,,,,,,,
533,0.327,,,,,,,,,,
534,0.274,,,,,,,,,,
535,0.366,,,,,,,,,,
536,0.708,,,,,,,,,,
537,0.63,,,,,,,,,,
538,0.443,,,,,,,,,,
539,0.588,,,,,,,,,,
540,0.634,,,,,,,,,,
541,0.503,,,,,,,,,,
542,0.656,,,,,,,,,,
543,0.371,,,,,,,,,,
544,0.574,,,,,,,,,,
545,0.819,,,,,,,,,,
546,0.73,,,,,,,,,,
547,0.746,,,,,,,,,,
548,0.599,,,,,,,,,,
549,0.359,,,,,,,,,,
550,0.456,,,,,,,,,,
551,0.442,,,,,,,,,,
552,0.541,,,,,,,,,,
553,0.462,,,,,,,,,,
554,0.151,,,,,,,,,,
555,0.273,,,,,,,,,,
556,0.365,,,,,,,,,,
557,0.158,,,,,,,,,,
558,0.223,,,,,,,,,,
559,0.333,,,,,,,,,,
560,0.704,,,,,,,,,,
561,0.595,,,,,,,,,,
562,0.405,,,,,,,,,,
563,0.57,,,,,,,,,,
564,0.476,,,,,,,,,,
565,0.609,,,,,,,,,,
566,0.508,,,,,,,,,,
567,0.603,,,,,,,,,,
568,0.451,,,,,,,,,,
569,0.488,,,,,,,,,,
570,0.396,,,,,,,,,,
571,0.54,,,,,,,,,,
572,0.449,,,,,,,,,,
573,0.584,,,,,,,,,,
574,0.365,,,,,,,,,,
575,0.596,,,,,,,,,,
576,0.567,,,,,,,,,,
577,0.604,,,,,,,,,,
578,0.348,,,,,,,,,,
579,0.579,,,,,,,,,,
580,0.439,,,,,,,,,,
581,0.458,,,,,,,,,,
582,0.311,,,,,,,,,,
583,0.332,,,,,,,,,,
584,0.609,,,,,,,,,,
585,0.393,,,,,,,,,,
586,0.586,,,,,,,,,,
587,0.407,,,,,,,,,,
588,0.669,,,,,,,,,,
589,0.247,,,,,,,,,,
590,0.291,,,,,,,,,,
591,0.554,,,,,,,,,,
592,0.461,,,,,,,,,,
593,0.586,,,,,,,,,,
594,0.581,,,,,,,,,,
595,0.613,,,,,,,,,,
596,0.419,,,,,,,,,,
597,0.528,,,,,,,,,,
598,0.529,,,,,,,,,,
599,0.577,,,,,,,,,,
600,0.512,,,,,,,,,,
601,0.442,,,,,,,,,,
602,0.566,,,,,,,,,,
603,0.232,,,,,,,,,,
604,0.189,,,,,,,,,,
605,0.238,,,,,,,,,,
606,0.591,,,,,,,,,,
